dia_mes,hora,T,int
31_01,31 ene. 12h,14.2,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,31 ene. 13h,15.3,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,31 ene. 14h,15.1,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,31 ene. 15h,15.1,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,31 ene. 16h,13.4,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,31 ene. 17h,12.7,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,31 ene. 18h,11.8,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,31 ene. 19h,10.2,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,31 ene. 20h,9.0,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,31 ene. 21h,8.4,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,31 ene. 22h,8.0,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,31 ene. 23h,7.1,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,01 feb. 00h,6.4,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,01 feb. 01h,5.8,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,01 feb. 02h,5.2,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,01 feb. 03h,4.7,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,01 feb. 04h,4.3,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,01 feb. 05h,4.4,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,01 feb. 06h,4.5,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,01 feb. 07h,4.4,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,01 feb. 08h,4.3,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,01 feb. 09h,4.9,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,01 feb. 10h,7.2,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,01 feb. 11h,10.8,Valencia: 31/01/23 12:00 - 01/02/23 11:00